date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2010-10-05,-0.4523,0.153,-0.7429,-0.4653,1
2010-10-06,-0.3166,0.1071,-0.5943,-0.3955,0
2010-10-07,-0.2216,0.0168,-0.8955,-0.3362,2
2010-10-08,-0.1551,0.0118,-0.941,0.1629,2
2010-10-09,-0.1086,-0.5031,-0.7528,0.1385,1
2010-10-10,-0.076,-0.4806,-0.6022,0.1177,1
2010-10-11,-0.017,-0.3364,0.757,0.1,2
2010-10-12,-0.0789,-0.2355,0.6056,0.085,2
2010-10-13,-0.0552,-0.1648,0.4845,0.0723,0
2010-10-14,-0.0387,0.1474,0.3876,0.0614,1
2010-10-15,-0.0271,0.1032,0.0487,0.0522,1
2010-10-16,-0.0189,0.0722,0.039,0.0444,0
2010-10-17,-0.0133,0.0506,0.0312,0.0377,0
2010-10-18,-0.0093,0.0354,0.2055,0.0321,1
2010-10-19,-0.0065,0.0248,0.1644,0.0273,0
2010-10-20,-0.0045,0.0173,0.1315,-0.2821,1
2010-10-21,0.7097,0.0121,0.2596,-0.2398,2
2010-10-22,0.0161,0.019,0.2077,-0.2038,3
2010-10-23,0.0113,-0.2358,0.1661,-0.1732,3
2010-10-24,0.0079,-0.1651,0.1329,-0.1473,0
2010-10-25,0.0055,0.0821,0.1063,-0.1252,1
2010-10-26,0.0039,-0.8491,0.0851,-0.1064,1
2010-10-27,0.0027,-0.929,0.0681,-0.0904,1
2010-10-28,0.2583,-0.6503,0.0544,-0.0769,2
2010-10-29,0.0999,-0.4116,0.0436,-0.0282,4
2010-10-30,0.0699,-0.2882,0.0348,-0.024,0
2010-10-31,0.3764,0.1294,0.0279,-0.0816,3
2010-11-01,0.2635,-0.3466,0.0223,-0.0694,1
2010-11-02,0.1844,-0.5719,0.0178,0.5423,4
2010-11-03,0.0491,-0.8081,0.0143,0.461,3
2010-11-04,0.0344,-0.5657,0.0114,0.3918,0
2010-11-05,0.0241,-0.396,0.0091,0.333,0
2010-11-06,0.0046,-0.2772,0.0073,0.2831,1
2010-11-07,0.0032,-0.194,0.0058,0.2406,0
2010-11-08,0.0115,-0.1358,0.0047,0.2045,1
2010-11-09,0.008,-0.0951,0.0037,0.2828,1
2010-11-10,0.0056,-0.0666,0.003,0.2404,0
2010-11-11,0.0262,-0.0466,0.0024,0.2043,1
2010-11-12,0.0183,-0.0326,0.0019,-0.9075,1
2010-11-13,0.0128,-0.0228,0.0015,-0.7714,0
2010-11-14,0.009,-0.016,0.0012,-0.6557,0
2010-11-15,0.0063,-0.0112,-0.6715,0.0411,2
2010-11-16,0.8063,-0.0078,-0.5372,0.0349,1
2010-11-17,-0.422,-0.0055,0.0127,0.18,4
2010-11-18,-0.2954,-0.0038,0.0102,0.153,0
2010-11-19,-0.2068,-0.0027,0.0081,0.13,0
2010-11-20,0.1984,-0.0019,0.0065,0.1105,1
2010-11-21,0.1389,-0.0013,0.0052,0.094,0
2010-11-22,0.7276,-0.0009,0.0042,0.0799,1
2010-11-23,0.5093,0.9155,0.0033,0.0679,1
2010-11-24,0.3565,0.6408,0.2787,0.0577,1
2010-11-25,0.2496,0.4486,0.223,0.049,0
2010-11-26,-0.6647,0.0696,0.2067,0.0417,3
2010-11-27,-0.4653,-0.6311,0.1654,0.0354,1
2010-11-28,-0.3257,-0.4418,-0.3601,0.0301,1
2010-11-29,-0.7582,-0.9414,-0.9451,0.6512,4
2010-11-30,0.7168,-0.6933,-0.7561,0.5535,3
2010-12-01,0.4222,-0.3974,-0.6049,-0.6876,4
2010-12-02,0.9243,-0.5276,-0.4839,-0.3957,4
2010-12-03,0.647,-0.3693,-0.3871,0.4071,2
2010-12-04,0.4529,0.2508,0.1651,0.3461,2
