date,sentiment_corporate,has_corporate,sentiment_energy,has_energy,sentiment_forex,has_forex,sentiment_macro,has_macro,news_count
2010-12-20,0.0157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010-12-21,0.016649999999999998,1.0,0.41575,1.0,0.0,0.0,0.0,0.0,4
2010-12-22,0.5179,1.0,0.0,0.0,0.0,0.0,0.6587,1.0,2
2010-12-23,-0.2481,1.0,0.0,0.0,0.0,0.0,-0.8823,1.0,2
2010-12-24,0.0,0.0,-0.002,1.0,0.0,0.0,0.0,0.0,1
2010-12-25,0.0,0.0,0.6268,1.0,0.0,0.0,0.0,0.0,1
2010-12-26,0.3678,1.0,0.9318,1.0,0.0,0.0,0.0,0.0,2
2010-12-27,0.07219999999999997,1.0,0.0,0.0,0.0,0.0,-0.05780000000000002,1.0,5
2010-12-28,0.5298,1.0,0.0,0.0,0.0,0.0,0.2855,1.0,2
2010-12-29,0.8828,1.0,0.1449,1.0,0.0,0.0,0.0,0.0,3
2010-12-30,0.0,0.0,-0.010149999999999992,1.0,0.0,0.0,0.0,0.0,2
2010-12-31,0.47865,1.0,0.038000000000000034,1.0,0.0,0.0,0.0,0.0,4
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0659,1.0,1
2011-01-02,0.0,0.0,-0.9245,1.0,0.0,0.0,0.0,0.0,1
2011-01-03,-0.144,1.0,-0.8996,1.0,0.0,0.0,0.0,0.0,2
2011-01-04,0.0,0.0,0.1266,1.0,0.0,0.0,0.0,0.0,1
2011-01-06,0.0,0.0,-0.057366666666666656,1.0,0.0,0.0,0.9315,1.0,4
2011-01-07,-0.4847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-01-08,-0.1971,1.0,0.7126,1.0,0.0,0.0,0.0,0.0,2
2011-01-09,0.0,0.0,0.008566666666666648,1.0,0.0,0.0,0.0,0.0,3
2011-01-10,0.0,0.0,-0.35896666666666666,1.0,0.0,0.0,0.9015,1.0,4
2011-01-11,0.0,0.0,-0.36352,1.0,0.0,0.0,0.6426,1.0,6
2011-01-12,0.0,0.0,0.72685,1.0,0.0,0.0,0.0358,1.0,3
2011-01-13,0.0494,1.0,0.0069,1.0,0.0,0.0,0.0,0.0,2
2011-01-14,0.8977,1.0,-0.006275000000000024,1.0,0.0,0.0,0.0,0.0,5
2011-01-15,-0.8184,1.0,0.0069,1.0,0.0,0.0,-0.8961,1.0,3
2011-01-16,0.3509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-01-17,-0.0784,1.0,-0.44821999999999995,1.0,0.0,0.0,-0.8708,1.0,7
2011-01-19,0.0,0.0,-0.0205,1.0,0.0,0.0,0.0,0.0,1
2011-01-20,0.0,0.0,-0.8615,1.0,0.0,0.0,-0.8766,1.0,2
2011-01-21,-0.8294,1.0,0.0581,1.0,0.0,0.0,0.7248,1.0,3
2011-01-22,0.0,0.0,-0.5498000000000001,1.0,0.0,0.0,-0.6505,1.0,3
2011-01-23,0.0,0.0,-0.7733,1.0,0.0,0.0,0.0,0.0,1
2011-01-24,0.494,1.0,-0.1315,1.0,0.0,0.0,-0.4562,1.0,4
2011-01-25,-0.0149,1.0,-0.015149999999999997,1.0,0.0,0.0,-0.6399,1.0,4
2011-01-27,-0.7587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-01-28,0.0762,1.0,0.08056666666666663,1.0,0.0,0.0,0.0,0.0,4
2011-01-29,0.0,0.0,-0.11314999999999997,1.0,0.0,0.0,0.015333333333333332,1.0,5
2011-01-30,-0.38780000000000003,1.0,0.8694,1.0,0.0,0.0,0.0,0.0,3
2011-01-31,-0.4791,1.0,0.7663,1.0,0.0,0.0,0.3185,1.0,4
2011-02-01,0.0,0.0,0.08090000000000001,1.0,0.0,0.0,0.0,0.0,4
2011-02-02,-0.148,1.0,0.1038,1.0,0.0,0.0,0.8065,1.0,3
2011-02-03,0.0,0.0,0.0551,1.0,0.0,0.0,0.8475,1.0,2
2011-02-04,0.0,0.0,0.06315000000000001,1.0,0.0,0.0,0.0,0.0,2
2011-02-05,0.0807,1.0,-0.934,1.0,0.0,0.0,-0.7986,1.0,4
2011-02-06,-0.5501,1.0,0.827,1.0,0.0,0.0,0.0,0.0,2
2011-02-08,0.4349,1.0,-0.9354,1.0,0.0,0.0,-0.8623,1.0,3
2011-02-09,0.0,0.0,-0.06004999999999999,1.0,0.0,0.0,0.0,0.0,2
2011-02-10,0.0,0.0,0.035,1.0,0.0,0.0,0.0496,1.0,2
2011-02-12,0.7136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-02-13,-0.2271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2011-02-14,-0.41933333333333334,1.0,-0.1434,1.0,0.0,0.0,-0.044149999999999995,1.0,6
2011-02-15,-0.9512,1.0,-0.0284,1.0,0.0,0.0,-0.0634,1.0,3
2011-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,1.0,1
2011-02-19,-0.6113,1.0,0.0,0.0,-0.2916,1.0,0.0,0.0,2
2011-02-20,0.0,0.0,0.8612500000000001,1.0,0.0,0.0,0.0,0.0,2
2011-02-21,0.0,0.0,0.31170000000000003,1.0,0.0,0.0,0.0,0.0,3
2011-02-22,-0.7576499999999999,1.0,-0.14406666666666665,1.0,0.0,0.0,0.0,0.0,5
2011-02-23,-0.0656,1.0,0.007850000000000001,1.0,0.0,0.0,-0.5949,1.0,4
2011-02-24,0.0,0.0,-0.0011399999999999854,1.0,0.0,0.0,-0.7017,1.0,6
2011-02-25,-0.6451,1.0,-0.46449999999999997,1.0,0.0,0.0,0.0439,1.0,4
2011-02-26,-0.8256,1.0,0.147,1.0,0.0,0.0,0.0,0.0,2
2011-02-27,0.0,0.0,0.7814,1.0,0.0,0.0,0.0,0.0,1
2011-03-01,-0.8242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-03-03,0.0,0.0,-0.24473333333333333,1.0,0.0,0.0,0.7434,1.0,4
2011-03-04,0.0,0.0,0.0809,1.0,0.0,0.0,0.0,0.0,1
2011-03-05,0.0,0.0,0.031,1.0,0.0,0.0,0.0,0.0,1
2011-03-06,0.0,0.0,0.0778,1.0,0.0,0.0,0.0,0.0,2
2011-03-07,0.0602,1.0,-0.0044,1.0,0.0,0.0,-0.8774,1.0,3
2011-03-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.09726666666666667,1.0,3
2011-03-09,0.0,0.0,0.6381666666666667,1.0,0.8823,1.0,0.1361,1.0,5
2011-03-10,0.0,0.0,-0.8709,1.0,0.0,0.0,0.0,0.0,1
2011-03-11,0.0,0.0,0.9087,1.0,0.0,0.0,0.45,1.0,2
2011-03-12,0.0,0.0,0.19935,1.0,0.0,0.0,0.0,0.0,2
2011-03-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.0781,1.0,1
2011-03-14,0.0,0.0,0.1813,1.0,0.0,0.0,-0.30360000000000004,1.0,4
2011-03-15,-0.8158,1.0,0.3515,1.0,0.0,0.0,-0.6883,1.0,3
2011-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.04853333333333334,1.0,3
2011-03-18,0.0,0.0,0.8416,1.0,0.0,0.0,0.0,0.0,1
2011-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,1
2011-03-23,0.0,0.0,0.197,1.0,0.0,0.0,0.0,0.0,1
2011-03-24,0.0,0.0,0.5437,1.0,0.0,0.0,0.0,0.0,1
2011-03-25,0.0,0.0,0.43379999999999996,1.0,0.0,0.0,0.0,0.0,2
2011-03-26,0.0,0.0,0.0248,1.0,0.0,0.0,0.055850000000000004,1.0,3
2011-03-28,0.0,0.0,-0.24655,1.0,0.0,0.0,0.0,0.0,2
2011-03-29,-0.03845,1.0,0.12505,1.0,0.0,0.0,0.0,0.0,4
2011-03-30,0.0,0.0,0.07946666666666669,1.0,0.0,0.0,0.0,0.0,3
2011-03-31,0.0,0.0,-0.6876333333333333,1.0,0.0,0.0,0.0,0.0,3
2011-04-01,0.0289,1.0,0.011019999999999985,1.0,0.0,0.0,0.0,0.0,6
2011-04-02,0.0,0.0,0.1144,1.0,0.0,0.0,0.0,0.0,1
2011-04-03,-0.2222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-04-04,0.0505,1.0,0.0,0.0,0.0,0.0,0.8919,1.0,2
2011-04-05,-0.0265,1.0,-0.40485,1.0,0.0,0.0,0.0,0.0,3
