date,sentiment_score,article_count,positive_count,negative_count,neutral_count,sentiment_label,macro_pakistan_score,psx_market_score,energy_oil_score,banking_finance_score,geopolitical_global_score,political_stability_score,pakistani_media_score,international_media_pakistan_score,psx_official_corporate_score,sector_specific_score
2010-06-24,-0.001100000000000012,5,1,1,3,neutral,0.7724,0.039,0.0209,0.0395,0.0,0.0,0.3062,-0.194475,0.0,0.0
2010-06-25,-0.001100000000000012,0,0,0,0,neutral,0.7724,0.039,0.0209,0.0395,0.0,0.0,0.3062,-0.194475,0.0,0.0
2010-06-26,-0.001100000000000012,0,0,0,0,neutral,0.7724,0.039,0.0209,0.0395,0.0,0.0,0.3062,-0.194475,0.0,0.0
2010-06-27,-0.001100000000000012,0,0,0,0,neutral,0.7724,0.039,0.0209,0.0395,0.0,0.0,0.3062,-0.194475,0.0,0.0
2010-06-28,0.09663333333333333,3,0,0,3,neutral,0.7724,0.039,0.0209,0.0395,0.0,0.0,0.1096,0.0707,0.0,0.0
2010-06-29,-0.02589999999999998,3,1,1,1,positive,-0.6123,0.039,0.4975,0.0395,0.0,0.0,0.1096,0.0371,0.0,0.0
2010-06-30,-0.4069,1,0,0,1,neutral,-0.6123,0.039,0.4975,0.0395,0.0,0.0,0.1096,-0.4069,0.0,0.0
2010-07-01,-0.7526,1,0,1,0,negative,-0.6123,0.039,-0.7526,0.0395,0.0,0.0,0.1096,-0.4069,0.0,0.0
2010-07-02,0.055,1,0,0,1,neutral,-0.6123,0.039,-0.7526,0.0395,0.0,0.0,0.055,-0.4069,0.0,0.0
2010-07-03,0.055,0,0,0,0,neutral,-0.6123,0.039,-0.7526,0.0395,0.0,0.0,0.055,-0.4069,0.0,0.0
2010-07-04,0.055,0,0,0,0,neutral,-0.6123,0.039,-0.7526,0.0395,0.0,0.0,0.055,-0.4069,0.0,0.0
2010-07-05,0.086,1,0,0,1,neutral,-0.6123,0.039,-0.7526,0.0395,0.0,0.0,0.086,-0.4069,0.0,0.0
